timestamp,value1,value2,value3,value4,value5,value6
9.4,4.999999999095368e-6,9.536882153217341e-17,9.04631178467827e-16,0.0,0.0,0.0
9.5,4.9999999990930145e-6,9.301523072748888e-17,9.069847692725114e-16,0.0,0.0,0.0
9.6,4.999999999090717e-6,9.071790510109883e-17,9.092820948989016e-16,0.0,0.0,0.0
9.7,4.999999999088475e-6,8.847598844106256e-17,9.11524011558938e-16,0.0,0.0,0.0
9.8,4.999999999086288e-6,8.628842901116902e-17,9.137115709888315e-16,0.0,0.0,0.0
9.9,4.999999999084153e-6,8.415417507520643e-17,9.158458249247938e-16,0.0,0.0,0.0
10.0,4.999999999082072e-6,8.207217489696288e-17,9.179278251030376e-16,0.0,0.0,0.0
10.1,4.9999999990800405e-6,8.004137674022652e-17,9.19958623259774e-16,0.0,0.0,0.0
10.2,4.99999999907806e-6,7.806072886878549e-17,9.21939271131215e-16,0.0,0.0,0.0
10.3,4.999999999076128e-6,7.61291795464279e-17,9.238708204535726e-16,0.0,0.0,0.0
10.4,4.999999999074246e-6,7.424567703694193e-17,9.257543229630585e-16,0.0,0.0,0.0
10.5,4.999999999072408e-6,7.240916960411573e-17,9.275908303958847e-16,0.0,0.0,0.0
10.6,4.999999999070617e-6,7.061860551173743e-17,9.29381394488263e-16,0.0,0.0,0.0
10.7,4.9999999990688715e-6,6.887293302359515e-17,9.311270669764053e-16,0.0,0.0,0.0
10.8,4.99999999906717e-6,6.717110040347702e-17,9.328288995965235e-16,0.0,0.0,0.0
10.9,4.999999999065511e-6,6.551205591517126e-17,9.344879440848292e-16,0.0,0.0,0.0
11.0,4.9999999990638935e-6,6.389474782246595e-17,9.361052521775346e-16,0.0,0.0,0.0
11.1,4.999999999062317e-6,6.231812438914923e-17,9.376818756108512e-16,0.0,0.0,0.0
11.2,4.99999999906078e-6,6.078113387900926e-17,9.392188661209912e-16,0.0,0.0,0.0
11.3,4.999999999059281e-6,5.928272455583415e-17,9.407172754441663e-16,0.0,0.0,0.0
11.4,4.999999999057821e-6,5.782184468341208e-17,9.421781553165884e-16,0.0,0.0,0.0
11.5,4.9999999990563955e-6,5.639744252553119e-17,9.436025574744692e-16,0.0,0.0,0.0
11.6,4.999999999055007e-6,5.50084663459796e-17,9.449915336540208e-16,0.0,0.0,0.0
11.7,4.999999999053653e-6,5.3653864408545467e-17,9.46346135591455e-16,0.0,0.0,0.0
11.8,4.9999999990523315e-6,5.2332584977016896e-17,9.476674150229836e-16,0.0,0.0,0.0
11.9,4.999999999051042e-6,5.104357631518208e-17,9.489564236848186e-16,0.0,0.0,0.0
12.0,4.9999999990497844e-6,4.978578668682915e-17,9.502142133131714e-16,0.0,0.0,0.0
12.1,4.999999999048556e-6,4.8558164355746227e-17,9.514418356442544e-16,0.0,0.0,0.0
12.2,4.9999999990473585e-6,4.7359665050814826e-17,9.526403349491857e-16,0.0,0.0,0.0
12.3,4.999999999046188e-6,4.618960563536505e-17,9.538103943646354e-16,0.0,0.0,0.0
12.4,4.999999999045046e-6,4.504753413567725e-17,9.549524658643232e-16,0.0,0.0,0.0
12.5,4.9999999990439315e-6,4.393294262841423e-17,9.560670573715862e-16,0.0,0.0,0.0
12.6,4.999999999042844e-6,4.2845323190238717e-17,9.571546768097618e-16,0.0,0.0,0.0
12.7,4.9999999990417825e-6,4.1784167897813525e-17,9.582158321021869e-16,0.0,0.0,0.0
12.8,4.999999999040747e-6,4.074896882780139e-17,9.59251031172199e-16,0.0,0.0,0.0
12.9,4.999999999039738e-6,3.973921805686514e-17,9.602607819431352e-16,0.0,0.0,0.0
13.0,4.999999999038753e-6,3.8754407661667536e-17,9.612455923383328e-16,0.0,0.0,0.0
13.1,4.999999999037793e-6,3.7794029718871354e-17,9.622059702811292e-16,0.0,0.0,0.0
13.2,4.999999999036856e-6,3.6857576305139363e-17,9.631424236948613e-16,0.0,0.0,0.0
13.3,4.999999999035943e-6,3.594453949713434e-17,9.640554605028662e-16,0.0,0.0,0.0
13.4,4.999999999035053e-6,3.505441137151908e-17,9.649455886284813e-16,0.0,0.0,0.0
13.5,4.9999999990341855e-6,3.418668400495636e-17,9.658133159950441e-16,0.0,0.0,0.0
13.6,4.999999999033339e-6,3.334084947410895e-17,9.666591505258915e-16,0.0,0.0,0.0
13.7,4.999999999032514e-6,3.251639985563963e-17,9.674836001443608e-16,0.0,0.0,0.0
13.8,4.999999999031711e-6,3.1712827226211165e-17,9.682871727737893e-16,0.0,0.0,0.0
13.9,4.999999999030928e-6,3.092962366248636e-17,9.69070376337514e-16,0.0,0.0,0.0
14.0,4.999999999030165e-6,3.0166281241127974e-17,9.698337187588725e-16,0.0,0.0,0.0
14.1,4.99999999902942e-6,2.94222920387988e-17,9.705777079612015e-16,0.0,0.0,0.0
14.2,4.999999999028695e-6,2.86971481321616e-17,9.713028518678387e-16,0.0,0.0,0.0
14.3,4.999999999027989e-6,2.799034159787915e-17,9.72009658402121e-16,0.0,0.0,0.0
14.4,4.999999999027299e-6,2.730136451261425e-17,9.726986354873861e-16,0.0,0.0,0.0
14.5,4.999999999026628e-6,2.6629708953029668e-17,9.733702910469707e-16,0.0,0.0,0.0
14.6,4.999999999025973e-6,2.5974866995788177e-17,9.740251330042121e-16,0.0,0.0,0.0
14.7,4.999999999025335e-6,2.5336330717552558e-17,9.746636692824479e-16,0.0,0.0,0.0
14.8,4.9999999990247114e-6,2.4713592194985577e-17,9.752864078050148e-16,0.0,0.0,0.0
14.9,4.999999999024104e-6,2.410614350475004e-17,9.758938564952504e-16,0.0,0.0,0.0
15.0,4.999999999023512e-6,2.351347672350871e-17,9.764865232764916e-16,0.0,0.0,0.0
15.1,4.9999999990229335e-6,2.2935083927924364e-17,9.77064916072076e-16,0.0,0.0,0.0
